id;address_1;address_2;address_3;town;county;country;postcode
1;Chips;navigating;Som Rustic Frozen Keyboard ROI;Benin;Tuna Response invoice;Macao;payment e-
2;Organic;Cheese Steel;Wooden Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes;Italy;integrate 
3;HTTP explicit;Personal Loan Account;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;invoice multi-byte;Palau;North Caro
4;Somalia Web revolutionize;invoice teal analyzing;Fantastic;Ergonomic Rubber Chicken;Handcrafted Plastic Shirt quantifying;Angola;open-sourc
5;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte;interface Cotton Robust;Moldova;JSON Texas
6;bandwidth;application Configurable iterate;Berkshire navigating;superstructure;streamline;Algeria;Internal F
7;CFP Franc Borders Borders;Common;Money Market Account;Danish Krone parse;neural Wooden Optimization;Virgin Islands, British;Designer
8;mindshare;Guam bandwidth Liaison;program Auto Loan Account Refined;infomediaries;Fantastic Fresh Salad;Pitcairn Islands;Sleek
9;Visionary;exploit transition;User-centric Principal Pennsylvania;repurpose Sleek;mesh system Triple-buffered;Gibraltar;supply-cha
10;Tools;Arizona hack;Fresh payment synthesize;Versatile seize;asymmetric EXE;Cyprus;Assistant 
